id,artist,album,name,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
69VbrwGah98lR7iuXkrk7e,Fly - King Britt's Fhloston Paradigm Remix,Fly (King Britt's Fhloston Paradigm Remix),Low,448426,0.614,0.521,0.498,0.855,0.136,0.418,-14.325,0.0466,120.003,10,3,Sad
0TEW7oRDKD2mjJQH507ni4,Flying by Candlelight (ABGT300) - Above & Beyond Club Mix,Group Therapy 300 Live from Hong Kong (ABGT300),Above & Beyond,364743,0.532,0.000312,0.664,0.0427,0.303,0.075,-9.804,0.0603,128.973,1,4,Energetic
3DZ7DFolE5U2xEGIzFjeGo,Focus,Focus,Light of Sun,190526,0.273,0.238,0.161,0.481,0.133,0.0503,-17.727,0.053,113.89,4,4,Calm
7d44sL4znFm5HZ6ltUVqbI,Follow me,Follow me,Andre Ehmann,204624,0.475,0.995,0.109,0.948,0.127,0.405,-29.839,0.0303,99.008,2,4,Calm
2T2EemW8X3GlKvJe1gxpBC,Found,Found,Martin Gauffin,159049,0.517,0.901,0.397,0.867,0.11,0.195,-14.281,0.0289,100.005,0,4,Calm
6s2T9kuNYNZKsG5Fa1LiDN,Free,TOGETHER,Third Party,228971,0.481,0.0238,0.922,0.00185,0.0971,0.246,-4.17,0.064,127.931,3,4,Happy
0aaTrekfgJgLiH00lnPKm7,Freya,Cantec De Leagane / Freya,Dave Pad,284878,0.64,0.000211,0.667,0.899,0.0748,0.288,-10.19,0.0379,122.994,11,4,Happy
4QlzkaRHtU8gAdwqjWmO8n,Friday I'm In Love,Wish,The Cure,215160,0.526,0.00126,0.763,6.75E-05,0.359,0.514,-12.663,0.0341,136.205,0,4,Happy
4ogyT8HqLV6IdCepscSkh3,From Yesterday,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,245933,0.467,0.00578,0.876,0.00592,0.0453,0.131,-4.841,0.0693,135.055,10,4,Energetic
4nTeeVQnNghbWWo6k7oPrH,Frozen,Frozen,Ron Adelaar,166000,0.352,0.986,0.0246,0.928,0.107,0.174,-27.226,0.0419,78.809,9,4,Calm
55ux9bDGw3qTVfad3PxSTq,Fête sous les étoiles,Suite,Biba Dupont,184000,0.312,0.994,0.00811,0.961,0.1,0.0703,-30.381,0.0389,115.486,1,4,Calm
229MM2St7SnW43nT8ADlG8,Game Time (feat. Ninja),Game Time (feat. Ninja),3LAU,156631,0.534,8.05E-05,0.957,0.758,0.266,0.52,-4.025,0.0455,95.046,1,4,Happy
4e7yuouxvWPbK1q2kVlgz8,Gasoline,Disclaimer II,Seether,168560,0.478,4.65E-05,0.942,0.0336,0.061,0.726,-2.71,0.08,173.515,1,4,Energetic
